Comment,Designator,Footprint
5.1 KΩ,"R2,R1",R_0402_1005Metric
10 KΩ,R7,R_0402_1005Metric
Conn_01x20,"J2,J3",PinHeader_1x20_P2.54mm_Vertical
1 uF,"C1,C4",C_0402_1005Metric
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm
Conn_01x03,J4,PinHeader_1x03_P2.54mm_Vertical
0.1 uF,"C2,C10,C9,C7,C3,C6,C11,C12,C5,C17,C8",C_0402_1005Metric
10 uF,"C13,C14",C_0603_1608Metric
33 pF,"C15,C16",C_0402_1005Metric
1 KΩ,"R6,R3",R_0402_1005Metric
W25Q16JVZPIQ TR,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12
27 Ω,"R4,R5",R_0402_1005Metric
SW_Push,SW1,SW_Push_SPST_NO_Alps_SKRK
MCP1700x-330xxTT,U2,SOT-23
